field,variety,harvest_date,area_planted,area_harvested,conv_sales,baby_sales,leeks_harvested
RH34/35C,Krypton,01/03/2021,0.28,0,0,0,0
RH34/35C,Oslo,01/03/2021,0.61,0,0,0,0
RH34/35C,Pluston,01/03/2021,2.35,3.07,85943,483.5,551815
RH38/40A,Chiefton,12/04/2020,5.5,5.3,210475.4,510.4,1224875
RH38/40A,Lexton,12/04/2020,5.75,5.75,267058,1407.25,960602
RH38/40A,Triton,12/04/2020,8.34,8.24,278591,481.1,1791062
Rosedene 18,Longton,13/12/2019,6.76,7.37,162726.8,351.4,1103390
Rosedene 25,Chiefton,25/10/2019,7.89,7.25,181604.4,0,1154161
Rosedene 28,Fencer,09/11/2019,1.38,1.24,31983,0,219452
Rosedene 28,Krypton,09/11/2019,7.69,7.63,281504.8,0,1585110
Sams Cut 1,Linkton,20/08/2020,8.35,7.94,202910.8,0,1529974
Sams Cut 2,Krypton,05/09/2020,5.57,6.15,191703.8,226.8,1170581
Shipgate 32A,Krypton,29/07/2020,1.05,1.04,13857.4,0,120243
Shipgate 32A,Shafton,29/07/2020,2.9,2.99,43258.2,0,356724
Shipgate 32B,Chiefton,01/10/2020,3.27,3.43,59088.4,0,446302
Shipgate 32B,Belton,01/10/2020,2.1,2.28,31101.4,0,240691
Spencers 3 Corner,Belton,28/01/2021,5.41,6.38,74341.4,30.25,792665
Spencers 3 Corner,Triton,28/01/2021,1.96,2.03,25437.6,437.1,0
Spencers Alms House,Belton,26/11/2020,8.3,8.74,77336,0,824726
Spencers Alms House,Batter,26/11/2020,1.3,1.47,22131,0,167834
Spencers Alms House,Defender,26/11/2020,0.51,1.01,11234.4,0,119018
Symmingtons HF1,Chiefton,22/01/2021,16.85,13.99,196571.6,1119.35,1186563
Symmingtons HF1,Lancaster,22/01/2021,8.24,7.62,95580,436.75,532187
Symmingtons HF1,Nun 70406,22/01/2021,2.84,1.7,21821,273.65,137924
Symmingtons HF1,Lexton,22/01/2021,6.68,5.3,53841,225.15,301530
Symmingtons HF4N,Chiefton,11/03/2020,8.05,6.79,183936.8,933.55,1069956
Symmingtons Sycamore,Belton,20/02/2020,13.68,13.95,319839,1621.5,2104740
Wissey 24,Chiefton,14/11/2020,3.8,3.68,108575,898.25,692814
Wissey 27,Chiefton,07/12/2020,4.69,4.26,114477,1296.38,764328
Wissey 33,Krypton,21/10/2019,4.61,2.69,72095,0,362097
Wissey 36,Krypton,12/11/2019,4.25,4.16,156956,0,644114
Wissey F (S),Longton,17/12/2019,5.1,4.3,105473.2,646.45,626896
Wissey H (N),Chiefton,30/09/2020,4.59,5.09,119578.6,1050,714379
Wissey I (N),Shafton,18/09/2020,3.63,3.84,114729.4,323.4,630152
Wissey I (N),Comanche,18/09/2020,0.76,0.94,31993.8,127.75,171305
Wissey I (S),Shafton,19/09/2020,4.06,4.23,143117.4,910.7,829203
Wissey O (S),Shafton,02/09/2019,9.02,9.02,260132.2,0,1596846
Park Farm 45,Krypton,,,,,,
Park Farm 52,Krypton,,,,,,
Park Farm 27,Krypton,,,,,,
Park Farm 29,Chiefton,,,,,,
Park Farm 29,Pluston,,,,,,
Park Farm 31,Krypton,,,,,,
Soles 17,Chiefton,,,,,,
Soles 19,Chiefton,,,,,,
Allans 06,Krypton,,,,,,
Allans 08/09,Chiefton,,,,,,
Allans 11,Batter,,,,,,
Grotec Reeves,Krypton,,,,,,
Grotec Reeves,Chiefton,,,,,,
Grotec School Road,Krypton,,,,,,
Grotec Far Black,Krypton,,,,,,
Symmingtons Boundary A,Chiefton,,,,,,
Symmingtons Boundary C,Chiefton,,,,,,
Symmingtons Long Road B,Chiefton,,,,,,
Markillies Shipey,Chiefton,,,,,,
Markillies 4,Chiefton,,,,,,
Markillies 4,Autura,,,,,,
Markillies 4,Stromboli,,,,,,
RH33,Harston,,,,,,
RH33,Laston,,,,,,
RH33,Oslo,,,,,,
Chatteris Farms 39,Pluston,,,,,,
Chatteris Farms 39,Laston,,,,,,
Spencers Church Pit A,Chiefton,,,,,,
Spencers Church Pit A,Belton,,,,,,
Spencers Church Pit A,Defender,,,,,,
Spencers Church Pit B,Defender,,,,,,
Spencers Allotments,Defender,,,,,,
Spencers Allotments,Oslo,,,,,,
Spencers Allotments,Laston,,,,,,
Spencers Heath,Laston,,,,,,
Spencers Heath,Triton,,,,,,
Lords Ground 20,Linkton,,,,,,
Lords Ground 31,Linkton,,,,,,
Lords Ground 31,Shafton,,,,,,
Lords Ground 39BG,Avastar,,,,,,
Lords Ground 39BG,Shafton,,,,,,
Lords Ground 57,Krypton,,,,,,
Lords Ground 69/Tims,Krypton,,,,,,
Lords Ground 69/Tims,Shafton,,,,,,
Lords Ground Brands,Krypton,,,,,,
Lords Ground Brands,Linkton,,,,,,
Lords Ground Coles,Shafton,,,,,,
Lords Ground Coles,Krypton,,,,,,
Lords Ground Home,Linkton,,,,,,
Lords Ground Home,Krypton,,,,,,
Lords Ground PW4,Krypton,,,,,,
Lords Ground PW4,Shafton,,,,,,
Lords Ground PW5,Shafton,,,,,,
Lords Ground PW5,Linkton,,,,,,
HH47,Triton,,,,,,
HH47,Nun 70406,,,,,,
HH33A,Lexton,,,,,,
HH54A,Runner,,,,,,
HH54B,Runner,,,,,,
HH54C,Batter,,,,,,
HH54C,Runner,,,,,,
HH54D,Runner,,,,,,
HH54D,Batter,,,,,,
HH43A,Linkton,,,,,,
HH43B,Linkton,,,,,,
HH43B,Runner,,,,,,
HH43C,Linkton,,,,,,
HH43C,Runner,,,,,,
HH43D,Runner,,,,,,
HH43E,Runner,,,,,,
HH43F,Runner,,,,,,
HH43G,Runner,,,,,,
HB79A,Linkton,,,,,,
HB79B,Chiefton,,,,,,
HB73,Chiefton,,,,,,
Garretts Listers 11,Comanche,,,,,,
Garretts Listers 12,Comanche,,,,,,
Garretts Listers 13,Comanche,,,,,,
Garretts Listers 13,Krypton,,,,,,
Rosedene 10,Shafton,,,,,,
Rosedene 10,Krypton,,,,,,
Rosedene 49,Linkton,,,,,,
Rosedene 49,Chiefton,,,,,,
Wissey Gills 1,Krypton,,,,,,
Wissey Gills 1,Shafton,,,,,,
Guyers 17,Chiefton,,,,,,
Guyers 17,Shafton,,,,,,
Guyers 17,Krypton,,,,,,
Guyers 30,Krypton,,,,,,
John Allan 1,Chiefton,,,,,,
Martin F10A,Krypton,,,,,,
Martin F10A,Shafton,,,,,,
Martin F10B,Krypton,,,,,,
Martin F10B,Chiefton,,,,,,
Lime Kiln Breck,Chiefton,,,,,,
Buckenham Stadium Field,Chiefton,,,,,,
Buckenham Long Narrow,Chiefton,,,,,,
Buckenham Heap,Chiefton,,,,,,
